2018-06-21 08:37:04,039 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:37:08,040 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:37:08,046 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-87
2018-06-21 08:37:08,051 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-87
2018-06-21 08:37:08,053 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:37:16,055 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:37:21,066 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-84
2018-06-21 08:37:21,071 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-84
2018-06-21 08:37:21,074 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:37:21,076 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:37:21,079 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-87
2018-06-21 08:37:21,080 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:37:21,082 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-87
2018-06-21 08:37:22,083 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:37:22,088 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-84
2018-06-21 08:37:22,093 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-84
2018-06-21 08:37:22,095 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:37:24,096 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:37:24,101 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-84
2018-06-21 08:37:24,106 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-84
2018-06-21 08:37:24,108 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:37:28,109 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:37:28,115 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-87
2018-06-21 08:37:28,119 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-87
2018-06-21 08:37:28,121 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:37:36,122 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:37:41,133 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-84
2018-06-21 08:37:41,134 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:37:41,138 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-84
2018-06-21 08:37:41,139 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:37:41,144 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-87
2018-06-21 08:37:41,147 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-87
2018-06-21 08:37:41,149 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:37:42,150 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:37:42,155 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-87
2018-06-21 08:37:42,159 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-87
2018-06-21 08:37:42,160 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:37:44,162 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:37:44,167 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-87
2018-06-21 08:37:44,171 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-87
2018-06-21 08:37:44,172 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:37:48,174 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:37:48,178 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-87
2018-06-21 08:37:48,183 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-87
2018-06-21 08:37:48,185 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:37:56,187 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:38:01,199 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-84
2018-06-21 08:38:01,204 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-84
2018-06-21 08:38:01,207 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:38:01,209 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:38:01,212 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-87
2018-06-21 08:38:01,214 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-87
2018-06-21 08:38:01,215 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:38:02,216 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:38:02,223 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-89
2018-06-21 08:38:02,224 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:38:02,228 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-89
2018-06-21 08:38:04,228 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:38:04,233 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-89
2018-06-21 08:38:04,236 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-89
2018-06-21 08:38:04,238 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:38:08,239 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:38:08,247 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-87
2018-06-21 08:38:08,250 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-87
2018-06-21 08:38:08,251 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:38:16,253 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:38:21,263 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-88
2018-06-21 08:38:21,264 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:38:21,269 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-88
2018-06-21 08:38:21,270 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:38:21,275 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-87
2018-06-21 08:38:21,277 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-87
2018-06-21 08:38:21,278 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:38:22,279 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:38:22,285 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-88
2018-06-21 08:38:22,289 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-88
2018-06-21 08:38:22,291 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:38:24,292 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:38:24,298 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-88
2018-06-21 08:38:24,301 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:38:24,303 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-88
2018-06-21 08:38:28,305 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:38:28,311 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-88
2018-06-21 08:38:28,315 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-88
2018-06-21 08:38:28,317 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
2018-06-21 08:38:36,318 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:38:41,329 | INFO  | slave Shutting down NC | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-87
2018-06-21 08:38:41,329 | WARN  | Could not start network bridge between: vm://slave?async=false and: tcp://master:61616 due to: master | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-11
2018-06-21 08:38:41,333 | INFO  | slave bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[slave] Task-87
2018-06-21 08:38:41,335 | INFO  | Establishing network connection from vm://slave?async=false to tcp://master:61616 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-13
