2018-06-17 19:38:56,067 | DEBUG | Unable to locate MessageSource with name 'messageSource': using default [org.springframework.context.support.DelegatingMessageSource@359f7cdf] | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2018-06-17 19:38:56,074 | DEBUG | Unable to locate ApplicationEventMulticaster with name 'applicationEventMulticaster': using default [org.springframework.context.event.SimpleApplicationEventMulticaster@4a94ee4] | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2018-06-17 19:38:56,673 | INFO  | PListStore:[/opt/apache-activemq-5.12.2/activemq-data/master/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2018-06-17 19:38:56,811 | INFO  | Using Persistence Adapter: JDBCPersistenceAdapter(org.postgresql.ds.PGPoolingDataSource@738dc9b) | org.apache.activemq.broker.BrokerService | main
2018-06-17 19:38:57,105 | INFO  | Database adapter driver override recognized for : [postgresql_native_driver] - adapter: class org.apache.activemq.store.jdbc.adapter.PostgresqlJDBCAdapter | org.apache.activemq.store.jdbc.JDBCPersistenceAdapter | main
2018-06-17 19:38:57,298 | DEBUG | Executing SQL: CREATE TABLE ACTIVEMQ_MSGS(ID BIGINT NOT NULL, CONTAINER VARCHAR(250), MSGID_PROD VARCHAR(250), MSGID_SEQ BIGINT, EXPIRATION BIGINT, MSG BYTEA, PRIMARY KEY ( ID ) ) | org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter | main
2018-06-17 19:38:57,385 | DEBUG | Executing SQL: CREATE INDEX ACTIVEMQ_MSGS_MIDX ON ACTIVEMQ_MSGS (MSGID_PROD,MSGID_SEQ) | org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter | main
2018-06-17 19:38:57,402 | DEBUG | Executing SQL: CREATE INDEX ACTIVEMQ_MSGS_CIDX ON ACTIVEMQ_MSGS (CONTAINER) | org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter | main
2018-06-17 19:38:57,438 | DEBUG | Executing SQL: CREATE INDEX ACTIVEMQ_MSGS_EIDX ON ACTIVEMQ_MSGS (EXPIRATION) | org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter | main
2018-06-17 19:38:57,471 | DEBUG | Executing SQL: CREATE TABLE ACTIVEMQ_ACKS(CONTAINER VARCHAR(250) NOT NULL, SUB_DEST VARCHAR(250), CLIENT_ID VARCHAR(250) NOT NULL, SUB_NAME VARCHAR(250) NOT NULL, SELECTOR VARCHAR(250), LAST_ACKED_ID BIGINT, PRIMARY KEY ( CONTAINER, CLIENT_ID, SUB_NAME)) | org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter | main
2018-06-17 19:38:57,524 | DEBUG | Executing SQL: ALTER TABLE ACTIVEMQ_MSGS ADD PRIORITY BIGINT | org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter | main
2018-06-17 19:38:57,527 | DEBUG | Executing SQL: CREATE INDEX ACTIVEMQ_MSGS_PIDX ON ACTIVEMQ_MSGS (PRIORITY) | org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter | main
2018-06-17 19:38:57,551 | DEBUG | Executing SQL: ALTER TABLE ACTIVEMQ_MSGS ADD XID VARCHAR(250) | org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter | main
2018-06-17 19:38:57,554 | DEBUG | Executing SQL: ALTER TABLE ACTIVEMQ_ACKS ADD PRIORITY BIGINT DEFAULT 5 NOT NULL | org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter | main
2018-06-17 19:38:57,607 | DEBUG | Executing SQL: ALTER TABLE ACTIVEMQ_ACKS ADD XID VARCHAR(250) | org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter | main
2018-06-17 19:38:57,609 | DEBUG | Executing SQL: ALTER TABLE ACTIVEMQ_ACKS DROP CONSTRAINT "activemq_acks_pkey" | org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter | main
2018-06-17 19:38:57,611 | DEBUG | Executing SQL: ALTER TABLE ACTIVEMQ_ACKS ADD PRIMARY KEY (CONTAINER, CLIENT_ID, SUB_NAME, PRIORITY) | org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter | main
2018-06-17 19:38:57,640 | DEBUG | Executing SQL: CREATE INDEX ACTIVEMQ_MSGS_XIDX ON ACTIVEMQ_MSGS (XID) | org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter | main
2018-06-17 19:38:57,678 | DEBUG | Executing SQL: CREATE INDEX ACTIVEMQ_ACKS_XIDX ON ACTIVEMQ_ACKS (XID) | org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter | main
2018-06-17 19:38:57,721 | DEBUG | Executing SQL: CREATE TABLE ACTIVEMQ_LOCK( ID BIGINT NOT NULL, TIME BIGINT, BROKER_NAME VARCHAR(250), PRIMARY KEY (ID) ) | org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter | main
2018-06-17 19:38:57,742 | DEBUG | Executing SQL: INSERT INTO ACTIVEMQ_LOCK(ID) VALUES (1) | org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter | main
2018-06-17 19:38:57,780 | INFO  | Database lock driver override not found for : [postgresql_native_driver].  Will use default implementation. | org.apache.activemq.store.jdbc.JDBCPersistenceAdapter | main
2018-06-17 19:38:57,789 | DEBUG | Using default JDBC Locker: org.apache.activemq.store.jdbc.DefaultDatabaseLocker@23f5b5dc | org.apache.activemq.store.jdbc.JDBCPersistenceAdapter | main
2018-06-17 19:38:57,791 | INFO  | Attempting to acquire the exclusive lock to become the Master broker | org.apache.activemq.store.jdbc.DefaultDatabaseLocker | main
2018-06-17 19:38:57,793 | DEBUG | Locking Query is SELECT * FROM ACTIVEMQ_LOCK FOR UPDATE | org.apache.activemq.store.jdbc.DefaultDatabaseLocker | main
2018-06-17 19:38:57,904 | INFO  | Becoming the master on dataSource: org.postgresql.ds.PGPoolingDataSource@738dc9b | org.apache.activemq.store.jdbc.DefaultDatabaseLocker | main
2018-06-17 19:38:57,915 | DEBUG | Cleaning up old messages. | org.apache.activemq.store.jdbc.JDBCPersistenceAdapter | ActiveMQ JDBC PA Scheduled Task
2018-06-17 19:38:57,916 | DEBUG | Executing SQL: DELETE FROM ACTIVEMQ_MSGS WHERE (PRIORITY=? AND ID <=      ( SELECT min(ACTIVEMQ_ACKS.LAST_ACKED_ID)       FROM ACTIVEMQ_ACKS WHERE ACTIVEMQ_ACKS.CONTAINER=ACTIVEMQ_MSGS.CONTAINER        AND ACTIVEMQ_ACKS.PRIORITY=?)   ) | org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter | ActiveMQ JDBC PA Scheduled Task
2018-06-17 19:38:57,969 | DEBUG | Deleted 0 old message(s) at priority: 0 | org.apache.activemq.store.jdbc.adapter.DefaultJDBCAdapter | ActiveMQ JDBC PA Scheduled Task
2018-06-17 19:38:57,970 | DEBUG | Cleanup done. | org.apache.activemq.store.jdbc.JDBCPersistenceAdapter | ActiveMQ JDBC PA Scheduled Task
